Ident,Name,Scenery_Local_Path,Continent,Country,State,Laty,Lonx
EN125,Årdal Sjøflyhavn,fk-no-seaplaneport,EU,NO,,61.2344,7.70656
EN126,Øvre Årdal Sjøflyhavn,fk-no-seaplaneport,EU,NO,,61.30684,7.78724
EN046,Vågåvatnet,fk-no-seaplaneport,EU,NO,,61.85687,8.53181
EN051,"Øyangen, Beitostølen",fk-no-seaplaneport,EU,NO,,61.21441,8.89161
EN060,Stolsvatnet/Djupvatnet,fk-no-seaplaneport,EU,NO,,60.76666,8.002
EN061,Strandavatnet,fk-no-seaplaneport,EU,NO,,60.70006,7.86039
EN062,Bergsjøen,fk-no-seaplaneport,EU,NO,,60.71183,8.29637051
EN063,Vatsfjorden,fk-no-seaplaneport,EU,NO,,60.69091,8.3918
EN065,"Holsfjorden, Hol",fk-no-seaplaneport,EU,NO,,60.61085,8.30856
EN066,"Rødungen, Nord For Ål",fk-no-seaplaneport,EU,NO,,60.70556,8.233789
EN070,Ustedalsfjorden,fk-no-seaplaneport,EU,NO,,60.52082,8.17324
EN071,"Ustevatnet, Ustaoset",fk-no-seaplaneport,EU,NO,,60.50178,8.01078
EN072,"Sløddfjorden, Hastøl",fk-no-seaplaneport,EU,NO,,60.50962,7.85951
EN108,Gyrinosvatnet,fk-no-seaplaneport,EU,NO,,60.83085,8.22109
EN050,Vangsmjøsa,fk-no-seaplaneport,EU,NO,,61.1371,8.54643
EN052,Volbufjorden,fk-no-seaplaneport,EU,NO,,61.09093,9.10373
EN053,"Strondafjorden, Fagernes",fk-no-seaplaneport,EU,NO,,60.98326,9.23538
EN054,Tisleifjorden,fk-no-seaplaneport,EU,NO,,60.83759,9.00541
EN055,Slidrefjord,fk-no-seaplaneport,EU,NO,,61.05554,9.02267
EN056,Storfjorden/Flyvatn,fk-no-seaplaneport,EU,NO,,60.93367,8.79558
EN064,"Tingvollfjorden, Ål",fk-no-seaplaneport,EU,NO,,60.65128,8.690371
EN067,"Rødungen, Sør For Ål",fk-no-seaplaneport,EU,NO,,60.5291023,8.532476
EN107,"Strandafjorden, Ål",fk-no-seaplaneport,EU,NO,,60.60255,8.49397
EN194,Arne Ivar Sjøflybase,fk-no-seaplaneport,EU,NO,,61.132328,8.91107
EN037,Lomnessjøen,fk-no-seaplaneport,EU,NO,,61.75143,11.19369
EN041,Husodden Sjøflybase,fk-no-seaplaneport,EU,NO,,60.74876,10.23616
EN042,"Mjøsa, Gjøvik",fk-no-seaplaneport,EU,NO,,60.75988,10.76795
EN187,"Skumsjøen, Gjøvik",fk-no-seaplaneport,EU,NO,,60.74679,10.5404806
EN073,"Langesjøen, Rauhelleren",fk-no-seaplaneport,EU,NO,,60.2485,7.77866
EN074,Geitvatn,fk-no-seaplaneport,EU,NO,,60.20042,7.8723
EN075,Hettefjorden,fk-no-seaplaneport,EU,NO,,60.186615,7.98713
EN082,"Møsvatn, Tinn",fk-no-seaplaneport,EU,NO,,59.84602,8.21262
EN205,"Møsvatn, Vinje",fk-no-seaplaneport,EU,NO,,59.86791,8.02413
EN240,Halnefjorden,fk-no-seaplaneport,EU,NO,,60.4031525,7.709592
EN068,Pålsbufjorden,fk-no-seaplaneport,EU,NO,,60.44164,8.64624
EN069,Tunhovdfjorden,fk-no-seaplaneport,EU,NO,,60.39282,8.86699
EN076,Sønstevatnet,fk-no-seaplaneport,EU,NO,,60.22524,8.542335
EN077,Fønnebøfjorden,fk-no-seaplaneport,EU,NO,,60.2591,8.89137
EN078,Norefjorden,fk-no-seaplaneport,EU,NO,,60.20451,9.018909
EN079,Kravikfjorden,fk-no-seaplaneport,EU,NO,,60.11619,9.04552
EN080,Tinnsjø,fk-no-seaplaneport,EU,NO,,59.89961,8.90922
EN089,Fyresdalsvatnet,fk-no-seaplaneport,EU,NO,,59.18081,8.08474
EN090,"Otra, Rysstad-Bjørgum",fk-no-seaplaneport,EU,NO,,59.09222,7.54571
EN091,Flårenden,fk-no-seaplaneport,EU,NO,,59.13679,7.53153
EN206,Longvikvatn,fk-no-seaplaneport,EU,NO,,59.68091,8.11855
EN081,"Heddalsvatnet, Notodden",fk-no-seaplaneport,EU,NO,,59.55941,9.22422
EN163,Kilen Sjøflyklubb,fk-no-seaplaneport,EU,NO,,59.89289,10.59837
EN164,Sjøflyhavna Kro,fk-no-seaplaneport,EU,NO,,59.89365,10.63364
EN088,"Fjærekilen I Norsjø, Skien",fk-no-seaplaneport,EU,NO,,59.18824,9.53312
EN165,Drammen Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.74048,10.23788
EN171,Sandefjord Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.1261,10.22552
EN166,Son Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.52448,10.68386
EN167,Moss Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.44184,10.6622305
EN168,Holmestrand Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.4912,10.31925
EN169,Hvasser/Tjøme Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.07762,10.42602
EN170,Tønsberg Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.27079,10.39924
EN035,Vurrusjøen,fk-no-seaplaneport,EU,NO,,61.873642,12.10204
EN036,Litle Engeren,fk-no-seaplaneport,EU,NO,,61.7722,11.94795
EN038,Engeren,fk-no-seaplaneport,EU,NO,,61.62826,12.02236
EN039,"Storsjøen, Åmot",fk-no-seaplaneport,EU,NO,,61.47751,11.28122
EN040,Osensjøen,fk-no-seaplaneport,EU,NO,,61.21928,11.8591557
EN186,"Ulvsjøene, Trysil",fk-no-seaplaneport,EU,NO,,61.26972,11.9781895
EN195,Hukusjøen,fk-no-seaplaneport,EU,NO,,60.5203,11.93774
EN196,"Glomma, Grue",fk-no-seaplaneport,EU,NO,,60.49866,12.05165
EN044,Vermundsjøen,fk-no-seaplaneport,EU,NO,,60.70175,12.38124
EN043,Storsjøen,fk-no-seaplaneport,EU,NO,,60.36731,11.64831
EN200,Sigernessjøen,fk-no-seaplaneport,EU,NO,,60.1276,12.03011
EN197,Skasen,fk-no-seaplaneport,EU,NO,,60.399086,12.3167505
EN198,Røgden,fk-no-seaplaneport,EU,NO,,60.40671,12.54217
EN199,Møkeren,fk-no-seaplaneport,EU,NO,,60.17073,12.37043
EN202,"Ose Motorfestival, Åraksfjorden",fk-no-seaplaneport,EU,NO,,58.94296,7.69044971
EN177,Risør Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.7225,9.24276
EN178,Lyngør Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.63563,9.12328
EN179,Arendal Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.45688,8.76442051
EN181,Lillesand Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.24784,8.38016
EN182,Høvåg I Blindleia Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.15829,8.26223
EN183,Kristiansand By Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.14534,8.02757
EN184,Kristiansand Kjevik Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.19839,8.07117
EN180,Grimstad Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.34058,8.59697
EN172,Stavern/Larvik Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.00052,10.0427
EN173,Helgeroa Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.99371,9.85164
EN174,Langesund Sjøflyhavn,fk-no-seaplaneport,EU,NO,,59.00795,9.7483
EN175,Valle/Bamble Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.93114,9.55965
EN176,Kragerø Sjøflyhavn,fk-no-seaplaneport,EU,NO,,58.86543,9.41064
SNJQ,Aeroporto De Jequitinhonha,flightsimbrasil-snjq,SA,BR,Minas Gerais,-16.4416428,-41.0365829
SBRP,Leite Lopes,"fs-base, flxbrasil-sbrp-leite-lopes",SA,BR,Sp,-21.1342449,-47.7769623
LFIP,Peyresourde-Balestas,"fs-base, flyfmc-airport-lfip-peyresourde",EU,FR,,42.7964439,0.439415574
EGBW,Wellesbourne Mountford Airfield,"fs-base, flyingtheston-egbw",EU,GB,Warwickshire,52.19248,-1.61449
EGBB,Birmingham Airport,"fs-base, birmingham-airport-egbb-birmingham",EU,GB,,52.44405,-1.73713982
LKSH,Stare Hamry,"flyto-lksh, flyto-lksh-nav",EU,CZ,Czech Republic,49.46971,18.4335022
LGKR,Ioannis Kapodistrias,"fs-base, flyto-lgkr",EU,GR,Greece,39.60088,19.9123745
LKSH,Stare Hamry,"flyto-lksh, flyto-lksh-nav",EU,CZ,Czech Republic,49.46971,18.4335022
LKSH,Stare Hamry,"flyto-lksh, flyto-lksh-nav",EU,CZ,Czech Republic,49.46971,18.4335022
LKTB,Brno-Turany,"fs-base, flyto-lktb",EU,CZ,Czech Republic,49.15258,16.6931953
LKTB,Brno-Turany,"fs-base, flyto-lktb",EU,CZ,Czech Republic,49.15258,16.6931953
C0304,Ram Falls,force1024-airport-c0304-ram-falls,NA,CA,Alberta,52.08677,-115.855667
CFR7,Red Deer Forestry,"fs-base, force1024-airport-cfr7-red-deer-forestry",NA,CA,Alberta,51.6513252,-115.239677
L35,Big Bear,"fs-base, foxtrot-bigbear-l35",NA,US,California,34.2634277,-116.85363
KAVX,Catalina Airport,"fs-base, foxtrot-catalina",NA,US,California,33.4044075,-118.416084
KEMT,San Gabriel Valley Airport,"fs-base, foxtrot-elmonte",NA,US,California,34.0869751,-118.033409
F0152,Heliport Hopital Verneuil,FR 0152 Heliport Verneuil sur avre,EU,FR,Normandie,48.74606,0.889854133
LFAX,Mortagne-Au-Perche,"fs-base, france-lfax-mortagne-au-perche",EU,FR,,48.5388641,0.534683168
LFRE,La Baule-Escoublac,"fs-base, france-lfre-labaule",EU,FR,,47.2886124,-2.348312
EDTH,Heubach,frombeyond-edth,EU,DE,Germany,48.8026733,9.931513
EKRK,Roskilde Airport,"fs-base, fsscenedk-ekrk-1.1",EU,DK,Roskilde,55.5888443,12.12892
EKVL,Flyvestation Varlose,"fs-base, EKVL 1.2, fsscenedk-ekvl-1.1",EU,DK,,55.76869,12.3258238
5B2,Saratoga County Airport,"fs-base, fwas-airport-5b2",NA,US,New York,43.0484428,-73.85996
KGFL,Floyd Bennett Memorial,"fs-base, fwas-airport-kgfl",NA,US,New York,43.34134,-73.60891
EGKK,Gatwick,fs-base,EU,GB,,51.14881,-0.1919268
GCFV,Fuerteventura,fs-base,EU,ES,,28.4481964,-13.8639011
GCGM,La Gomera,fs-base,EU,ES,,28.0296516,-17.21466
GCHI,El Hierro,"fs-base, gchi",EU,ES,,27.8140049,-17.8861389
GCLA,La Palma,fs-base,EU,ES,,28.6264553,-17.7556419
GCLB,El Berriel,fs-base,EU,ES,,27.7823849,-15.50735
GCRR,Lanzarote,fs-base,EU,ES,,28.9454823,-13.6052265
GCTS,Reina Sofia,fs-base,EU,ES,,28.04452,-16.5724487
GCTS,Reina Sofia,fs-base,EU,ES,,28.04452,-16.5724487
LFPS,Notre Dame De La Salette,"fs-base, gibsim-lfps",EU,FR,,44.8423767,5.9626956
LJZA,Zagorje,"fs-base, gio-airport-zagorje",EU,SI,,46.14258,14.9987278
CAMER,Campo Di Volo Alta Langa,giorgio-airport-camer-altalanga,EU,IT,,44.4115219,8.12144
EDDP,Leipzig/Halle,"fs-base, airport-dastrobel-eddp_taxiway_FIX",EU,DE,,51.41772,12.2169971
EDDW,Bremen,fs-base,EU,DE,,53.045742,8.78901
KBNA,Nashville Intl,fs-base,NA,US,Tennessee,36.1239128,-86.6778946
KPDX,Portland Intl,fs-base,NA,US,Oregon,45.5886879,-122.598167
KSAC,Sacramento Executive,fs-base,NA,US,California,38.512825,-121.493134
EGBT,Turweston,"fs-base, gobby-egbt-turweston",EU,GB,,52.0402946,-1.10328686
EGHP,Popham,"fs-base, gobby-eghp-popham",EU,GB,,51.1938133,-1.23651719
EGKB,Biggin Hill,"fs-base, gobby-egkb-bigginhill",EU,GB,,51.3269653,0.033044368
EGLK,Blackbushe,"fs-base, gobby-eglk-blackbushe",EU,GB,,51.3239937,-0.847699165
EGSU,Duxford,"fs-base, gobby-egsu-duxford",EU,GB,,52.09218,0.130189955
EGTR,Elstree,"fs-base, gobby-egtr-elstree",EU,GB,,51.6558342,-0.325832963
EXPR,RAF Portreath,gobby-expr-raf-portreath,EU,GB,,50.2707939,-5.26410437
EGHR,Goodwood,fs-base,EU,GB,,50.860672,-0.7591845
SAWB,Marambio Base,grafdresche-sawb01-V2,AN,Antarctica,,-64.24029,-56.637394
GCLP,Gran Canaria,fs-base,EU,ES,,27.9315567,-15.3855839
EDDS,Stuttgart,gravity-airport-edds-stuttgart,EU,DE,,48.6898766,9.221964
GX01,Dhokimion,"fs-base, gx01",EU,GR,Aitoloakarnania,38.61413,21.392664
LG53,Lamia,"fs-base, lg53",EU,GR,Fthiotida,38.87351,22.4361629
LGAG,Agrinio,"fs-base, lgag",EU,GR,Aitoloacarnania,38.60321,21.349762
LGEP,Epitalio,"fs-base, lgep",EU,GR,Ilia,37.613987,21.49575
LGFL,Florina,lgfl,EU,GR,Makedonia,40.8052521,21.433754
LGHL,Porto Heli,"fs-base, cya-airport-lghl-portocheli, lghl",EU,GR,Peloponissos,37.2985153,23.1488514
LGKC,Alexandros A. Onassis,"fs-base, lgkc",EU,GR,Kithira,36.2750168,23.0166512
LGKN,Kotroni Nb,lgkn,EU,GR,Attica,38.1424065,23.9529438
LGKS,Kasos,"fs-base, lgks",EU,GR,Dodekanese,35.4212952,26.91215
LGLM,Ifaistos,"fs-base, lglm",EU,GR,Limnos,39.91787,25.2355766
LGMG,Megara,"fs-base, lgmg",EU,GR,Attica,37.9815941,23.36895
LGML,Milos,"fs-base, lgml",EU,GR,Milos,36.6968727,24.47646
LGNX,Naxos,"fs-base, lgnx",EU,GR,Naxos,37.08176,25.3681984
LGPL,Astypalaia,"fs-base, lgpl",EU,GR,Astypalaia,36.5798759,26.3755112
LGSP,Sparti,"fs-base, lgsp",EU,GR,Sparti,36.9743843,22.52735
LGST,Sitia,"fs-base, lgst",EU,GR,Crete,35.21672,26.101902
LGSV,Stefanovikio,"fs-base, lgsv",EU,GR,Magnesia,39.4787521,22.7677631
LGZI,Zigos,lgzi,EU,GR,Xanthi,41.1163,24.920763
PREL,Prel Wings Ltd,prel,EU,GR,Makedonia,40.36657,23.0514545
Z11W,Komotini,"fs-base, z11w",EU,GR,Komotini,41.1117935,25.32301
KCGX,Merrill C. Meigs Field,guillermozulueta-meigs,NA,US,Illinois,41.8592262,-87.60827
GVAC,Amilcar Cabral,fs-base,AF,CV,,16.7388,-22.9505444
PAVD,Valdez Pioneer Field,haeriphos-pavd,NA,US,Alaska,61.1281624,-146.240479
CYQQ,19 Wing Comox,"fs-base, hambown81-airport-CYQQ-Comox-v1.0",NA,CA,British Columbia,49.7115173,-124.891869
ENHT,Hattfjelldal,"fs-base, hfjelldalfix",EU,NO,,65.59288,13.9872713
ENBS,Båtsfjord Airport,"fs-base, hmj-airport-enbs-baatsfjord",EU,NO,,70.6024246,29.6975937
ENBV,Berlevåg,"fs-base, hmj-airport-enbv-berlevaag",EU,NO,,70.87001,29.0279465
ENME,Meråker Airfield Øian,"fs-base, hmj-airport-enme-oeian",EU,NO,,63.37105,11.813365
ENSS,Svartnes,"fs-base, hmj-airport-enss-svartnes",EU,NO,,70.35688,31.0424461
ENVD,Vadso,"fs-base, hmj-airport-envd-vadso",EU,NO,,70.06539,29.8557472
LJAJ,Ajdovscina Airport,holdshort-airport-ljaj-ajdovscina,EU,SI,Si,45.89179,13.8877068
ESMV,Hagshult Airport,"fs-base, holmenloew-esmv",EU,SE,,57.2893372,14.1354408
MMBT,Bahias De Huatulco International Airport,"fs-base, hss-airport-mmbt-huatulco",NA,MX,Oaxaca,15.77458,-96.26176
MMLP,Gen Marquez De Leon,"fs-base, hss-airport-mmlp-lapazint",NA,MX,Baja California Sur,24.076,-110.364258
MMMZ,General Rafael Buelna International,"fs-base, hss-airport-mmmz-mazatlan-intl",NA,MX,Sinaloa,23.1626453,-106.264565
MMT2,Angel Albino Corzo,hss-airport-mmtg-tuxtlaint,NA,MX,Chiapas,16.5635262,-93.02375
MMZO,Playa De Oro International,"fs-base, hss-hss-airport-mmzo-manzanillo",NA,MX,Colima,19.1497421,-104.562141
EFKX,Kilpisjarvi,hti-airport-efkx-kilpisjarvi,EU,FI,,69.00096,20.8949337
YMPC,Point Cook,"fs-base, hubdubs-airport-ympc",OC,AU,Victoria,-37.9318,144.753662
LHBS,Budaors,"fs-base, hvfr-airport-lhbs",EU,HU,,47.4509964,18.9805527
LHFH,Farkashegy,"fs-base, hvfr-airport-lhfh",EU,HU,,47.48612,18.91512
LHHH,Harmashatarhegy,"fs-base, hvfr-airport-lhhh",EU,HU,,47.55149,18.9764442
LHKK,Kiskunlachaza Airport,"fs-base, hvfr-airport-lhkk",EU,HU,,47.177166,19.0740967
LHTL,Tokol,"fs-base, hvfr-airport-lhtl",EU,HU,,47.34548,18.9808235
LHVE,Veresegyhaz Repuloter,"fs-base, hvfr-airport-lhve",EU,HU,Pest,47.63815,19.25456
ID28,Mackay Bar,"fs-base, id28",NA,US,Idaho,45.38024,-115.505844
PAUN,Unakleet Airport,iggy-unakleet,NA,US,Alaska,63.8802261,-160.7975
EFPN,Punkaharju,"fs-base, iikke-airport-efpn-punkaharju",EU,FI,,61.72755,29.3951321
EFIT,Kitee,"fs-base, iikke-efit",EU,FI,,62.166584,30.074501
EDRT,Trier Föhren,"fs-base, influous-airport-edrt-trier",EU,DE,Rhineland-Palatinate,49.86339,6.78667831
EGHT,Tresco,airport-eght-tresco-superspud,EU,GB,,49.94616,-6.3313
EGHE,St Marys,"fs-base, scilly-eghe-stmarys-superspud",EU,GB,United Kingdom,49.913208,-6.29102468
EGHE,St Marys,"fs-base, scilly-eghe-stmarys-superspud",EU,GB,United Kingdom,49.913208,-6.29102468
LFRK,Carpiquet,fs-base,EU,FR,,49.1762276,-0.45173943
LFOH,Le Havre Octeville,"fs-base, ivanov-octeville",EU,FR,,49.53162,0.0921933353
LFOH,Le Havre Octeville,"fs-base, ivanov-octeville",EU,FR,,49.53162,0.0921933353
RJAW,Iwoto AB,"iwojima-airport-rjaw-iwotoairport, jpiwotorjaw, jpiwotorjaw",AS,JP,Tokyo,24.7830677,141.322128
LOLT,Lolt,"fs-base, jb-lolt",EU,AT,Upper Austria,48.05035,14.6628046
YAPO,Apollo Bay Airport,fs-base,OC,AU,,-38.77293,143.657364
YARA,Ararat Airport,"fs-base, jordanjames94-yara",OC,AU,Victoria,-37.31029,142.990646
YBGR,Bridgewater Airport,fs-base,OC,AU,,-36.6221466,143.949341
YBLT,Ballarat,"fs-base, jordanjames94-yblt",OC,AU,Victoria,-37.511837,143.7921
YBLT,Ballarat,"fs-base, jordanjames94-yblt",OC,AU,Victoria,-37.511837,143.7921
YBSS,Bacchus Marsh Airport,fs-base,OC,AU,,-37.73232,144.4243
YCDE,Cobden Airport,"fs-base, jordanjames94-ycde",OC,AU,Victoria,-38.3231964,143.0557
YCEM,Coldstream Airport,"fs-base, jordanjames94-ycem",OC,AU,Victoria,-37.725193,145.406876
YDRN,Drouin,"fs-base, jordanjames94-ydrn",OC,AU,Victoria,-38.2084846,145.833847
YECH,Echuca Aerodrome,"fs-base, jordanjames94-yech",OC,AU,Victoria,-36.157,144.761917
YKIN,King Lake,"fs-base, jordanjames94-ykin-kinglake",OC,AU,Victoria,-37.475975,145.265945
YKYB,Kyabram Airport,fs-base,OC,AU,,-36.332325,144.971024
YLED,Lethbridge Airpark,fs-base,OC,AU,,-37.9222145,144.102188
YLEG,Leongatha,"fs-base, jordanjames94-yleg",OC,AU,Victoria,-38.4950523,145.8598
YLIL,Lilydale,"fs-base, jordanjames94-ylil",OC,AU,Victoria,-37.6983757,145.368835
YLTV,Latrobe Valley Regional Airport,"fs-base, jordanjames94-yltv",OC,AU,Victoria,-38.20746,146.470352
YLTV,Latrobe Valley Regional Airport,"fs-base, jordanjames94-yltv",OC,AU,Victoria,-38.20746,146.470352
YMEO,Merton,"fs-base, jordanjames94-ymeo-merton",OC,AU,Victoria,-36.9685173,145.707932
YMFD,Mansfield,"fs-base, jordanjames94-ymfd",OC,AU,Victoria,-37.07441,146.12355
YMMB,Moorabbin,fs-base,OC,AU,Victoria,-37.9775276,145.100113
YMNG,Mangalore,fs-base,OC,AU,Victoria,-36.88868,145.1854
YOLA,Colac,"fs-base, jordanjames94-yola",OC,AU,Victoria,-38.2864,143.6791
YPBH,Peterborough,jordanjames94-ypbh,OC,AU,Victoria,-38.6070175,142.901062
YSHT,Shepparton Airport,"fs-base, jordanjames94-ysht",OC,AU,Victoria,-36.428833,145.392258
YTGG,Taggerty Airport,"fs-base, jordanjames94-ytgg-taggerty",OC,AU,Victoria,-37.350502,145.69989
YWBL,Warrnambool,fs-base,OC,AU,Victoria,-38.2949524,142.447388
YYEA,Yeaburn,"fs-base, jordanjames94-yyea-yeaburn",OC,AU,Victoria,-37.17789,145.322983
YBDG,Bendigo Airport,jordanjames94-ybdg,OC,AU,Victoria,-36.7380753,144.3261
YTYA,Tyabb Airport,"fs-base, jordanjames94-ytya",OC,AU,Victoria,-38.26425,145.180649
CYFB,Iqaluit,fs-base,NA,CA,Nunavut,63.7565727,-68.5561142
RJAW,Iwoto AB,"iwojima-airport-rjaw-iwotoairport, jpiwotorjaw, jpiwotorjaw",AS,JP,Tokyo,24.7830677,141.322128
RJAW,Iwoto AB,"iwojima-airport-rjaw-iwotoairport, jpiwotorjaw, jpiwotorjaw",AS,JP,Tokyo,24.7830677,141.322128
RORK,Kitadaito,jpkitadaitojimarork,AS,JP,Okinawa,25.9436188,131.326538
ROMD,Minamidaito,jpminamidaitoromd,AS,JP,Okinawa,25.8470211,131.264771
LEBZ,Badajoz/Talavera La Real,jsf-lebz-badajoz,EU,ES,Spain,38.88773,-6.821807
LEMT,Casarrubios,fs-base,EU,ES,,40.23484,-4.02707338
LEVD,Valladolid-Villanubla,"airhispania-airport-levd-villanubla, jsf-levd-valladolid",EU,ES,Valladolid,41.698246,-4.862558
ENOP,Fagerhaug,fs-base,EU,NO,,62.6512947,9.851115
CZUM,Churchill Falls Airport,julysfire-airport-czum-churchillfalls,NA,CA,Newfoundland and Labrador,53.560463,-64.0944061
F45,North Palm Beach County General Aviation Airport,julysfire-airport-f45-npbc,NA,US,Florida,26.8448715,-80.2200546
KNZY,North Island Naval Air Station,"airport-julysfire-knzy, julysfire-airport-knzy-northislandnas",NA,US,California,32.69895,-117.215164
P52,Cottonwood Airport,"fs-base, julysfire-airport-p52-cottonwood",NA,US,Arizona,34.729248,-112.034531
EDDC,Dresden International,"fs-base, jumiktdesign-airport-eddc-dresden-international",EU,DE,,51.1342,13.767416
AZ28,Thunder Ridge Airpark,justokayscenery-az-sm,NA,US,Arizona,33.8213768,-112.573219
AZ32,Rosener Ranch Airport,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.8475342,-112.588043
P48,Pleasant Valley Airport,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.800972,-112.247589
10AZ,Farm Ag Airport,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.3668633,-112.621292
1AZ2,Paradise Air Park,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.41174,-112.182541
2AZ7,Mcgill Ultralight Field,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.6832771,-112.165764
AZ25,Goldfield Ranch Airport,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.5986977,-111.606056
AZ34,Massey Farm Airport,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.69742,-112.36956
AZ60,Curry Ridge Airport,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.5050621,-112.474457
AZ90,Hangar Haciendas Airport,"fs-base, justokayscenery-az-sm",NA,US,Arizona,33.3497467,-112.12384
2AZ4,Millar Airport,"fs-base, justokayscenery-az-sm-2",NA,US,Arizona,33.05475,-112.1463
34AZ,Gila River Memorial Airport,"fs-base, justokayscenery-az-sm-2",NA,US,Arizona,33.2479,-111.911423
3AZ2,University Of Arizona Maricopa Agricultural,"fs-base, justokayscenery-az-sm-2",NA,US,Arizona,33.0799522,-111.983528
41AZ,Ak Chin Community Airfield,"fs-base, justokayscenery-az-sm-2",NA,US,Arizona,32.9907951,-112.02346
55AZ,Potters Field Airport,"fs-base, justokayscenery-az-sm-2",NA,US,Arizona,32.8758049,-111.9593
AZ49,Aileron Orchards Airport,"fs-base, justokayscenery-az-sm-2",NA,US,Arizona,32.8946075,-112.253464
20AZ,Eds Field Airport,"fs-base, justokayscenery-az-sm-2",NA,US,Arizona,32.68444,-111.5031
36AZ,Valley Farms Airport,"fs-base, justokayscenery-az-sm-2",NA,US,Arizona,32.99277,-111.4537
30AZ,Gila Compressor Station Airport,"fs-base, justokayscenery-az-sm-3",NA,US,Arizona,33.25038,-112.807991
AZ05,Lakeside Airpark,"fs-base, justokayscenery-az-sm-3",NA,US,Arizona,33.1118736,-112.662315
40AZ,Boulais Ranch Airport,"fs-base, justokayscenery-az-sm-3",NA,US,Arizona,33.0787239,-112.122955
5AZ7,Carranza Farm Airstip,"fs-base, justokayscenery-az-sm-3",NA,US,Arizona,32.8470459,-111.951492
AZ61,G M Ranch Airport,"fs-base, justokayscenery-az-sm-3",NA,US,Arizona,32.9013023,-112.237778
KBXK,Buckeye Municipal Airport,"fs-base, justokayscenery-kbxk",NA,US,Arizona,33.4206161,-112.6847
KFLG,Flagstaff Pulliam Airport,"fs-base, justokayscenery-kflg",NA,US,Arizona,35.1399231,-111.670532
KGCN,Grand Canyon National Park Airport,"fs-base, justokayscenery-kgcn",NA,US,Arizona,35.95287,-112.145454
KJAC,Jackson Hole Airport,"fs-base, justokayscenery-kjac",NA,US,Wyoming,43.6063538,-110.73735
KPAN,Payson Airport,"fs-base, justokayscenery-kpan",NA,US,Arizona,34.25663,-111.339218
P19,Stellar Airpark,"fs-base, justokayscenery-p19",NA,US,Arizona,33.2988243,-111.91597
EPPG,Kakolewo,kakolewo,EU,PL,Greather Poland,52.2361679,16.2349682
CYKG,Kangiqsujuaq Airport,kangiqsujuaq,NA,CA,Quebec,61.5885239,-71.92893
EDER,Wasserkuppe,"karlo-airport-eder-wasserkuppe, z_karlo-airport-eder-wasserkuppe",EU,DE,,50.4986534,9.95193
EPJA,Jastarnia Airfield,"fs-base, kasug-epja",EU,PL,,54.7108841,18.6438274
EBAM,Amougies Airport,"fs-base, EBAM_MSFS2020, kayjaybe-ebam",EU,BE,,50.74,3.48517466
EBGG,Overboelare Airfield,"fs-base, EBGG_MSFS2020, kayjaybe-ebgg",EU,BE,,50.7536469,3.86221433
EBHN,Hoevenen Airfield,"fs-base, EBHN_MSFS2020, kayjaybe-ebhn",EU,BE,Antwerp,51.3071632,4.38620567
EBIS,Isières Private Airfield,"fs-base, kayjaybe-ebis",EU,BE,Hainaut,50.6633759,3.80470538
EBUL,Urself Airfield,"fs-base, kayjaybe-ebul",EU,BE,East Flanders,51.1417656,3.46458125
RCFG,Nangan,kychungdotcom-airport-rcfg-nangan,AS,TW,,26.1597214,119.958336
RCLM,Dongsha,kcai-rclm,AS,TW,,20.7064571,116.721
KELN,Bowers,fs-base,NA,US,Washington,47.03327,-120.530525
ETSK,Kaufbeuren AB,kfdesign-etsk,EU,DE,Bavaria,47.8620529,10.6145363
ETSK,Kaufbeuren AB,kfdesign-etsk,EU,DE,Bavaria,47.8620529,10.6145363
KGEG,Spokane Intl,fs-base,NA,US,Washington,47.61876,-117.535431
KILM,Wilmington Intl,fs-base,NA,US,North Carolina,34.271183,-77.90294
KIOW,Iowa City Municipal Airport,"fs-base, kiow",NA,US,Iowa,41.639183,-91.5458755
